repetition,model_id,model_label,method_id,method_label,metric_id,metric_label,unit,role,cluster_count,cases_per_cluster,mean,median,sample_standard_deviation,minimum,maximum
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,3227.4966266666665,3019.9661,720.3852254542124,2111.8830000000003,4675.0002
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,99.59333333333333,100.0,1.317765437066262,94.2,100.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,6085.233333333334,5031.6,2652.418641780435,2860.2,11752.8
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,18.034326541753497,16.86136551720047,3.9653224824857074,12.306510330001766,27.03296777560172
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,2.0,2.0,0.0,2.0,2.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,508.1933333333333,502.1,118.01529396309363,291.6,768.6
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1283334116.6933334,1281734656.0,17924152.708818983,1248220774.4,1316763238.4
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,9899158623.573334,9988734976.0,244841598.53147632,9274864435.2,10327215308.8
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,80.66000000000001,81.6,2.000103445600615,75.6,82.4
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,9875814700.373333,9903315353.599998,207130116.78027037,9344214630.4,10278286131.2
